date,variant,purchases,net_amount,gross_amount
2017-10-02,494340001004,1.0,19.282060766098216,19.99
2017-10-02,236505002074,2.0,15.411960113840603,15.98
2017-10-02,236505002092,1.0,7.6035790654393525,7.99
2017-10-02,434045002034,1.0,34.67885134202275,34.99
2017-10-02,434045002036,4.0,132.96147469911938,139.96
2017-10-02,469137009006,2.0,19.084642664238974,19.98
2017-10-02,483783001034,3.0,27.851428621319364,29.97
2017-10-02,483783001040,1.0,9.447009521111854,9.99
2017-10-02,483783001036,3.0,28.952446092040447,29.97
2017-10-02,236505002086,1.0,7.195400461852502,7.99
2017-10-02,483783001038,2.0,19.563689104768613,19.98
2017-10-02,445724001404,12.0,226.67362013866207,239.88
2017-10-02,538986001004,4.0,118.52078634831626,119.96
2017-10-02,538986001006,1.0,29.27105558978428,29.99
2017-10-02,538986001005,2.0,59.00675377030196,59.98
2017-10-02,538986001003,2.0,56.95834518773446,59.98
2017-10-02,579207008158,1.0,6.54549986644509,6.99
2017-10-02,494229003404,6.0,44.06272831597016,47.94
2017-10-02,251280004305,40.0,196.26927331273274,199.6
2017-10-02,543062002046,1.0,86.882281717725,89.99
2017-10-02,481420009028,7.0,66.96771282302294,69.93
2017-10-02,481420009025,7.0,63.02787155509582,69.93
2017-10-02,481420009031,2.0,19.578357693880374,19.98
2017-10-02,539919001038,3.0,42.01822632354596,44.97
2017-10-02,539919001046,1.0,13.635736696062121,14.99
2017-10-02,539919001036,5.0,68.24640906494602,74.95
2017-10-02,539919001044,1.0,13.785758633577723,14.99
2017-10-02,539919001032,2.0,27.334607713775824,29.98
2017-10-02,539919001034,6.0,89.77106170804448,89.94
2017-10-02,533523002036,1.0,36.64445612374111,39.99
2017-10-02,386264001008,4.0,48.139010119902,51.96
2017-10-02,452516001036,16.0,116.97677950267375,127.84
2017-10-02,452516001039,22.0,168.0859337279646,175.78
2017-10-02,452069003027,1.0,12.43347529527579,12.99
2017-10-02,452069003032,1.0,11.701320190785314,12.99
2017-10-02,452069003026,1.0,12.358882882484894,12.99
2017-10-02,452069003025,1.0,11.889497211469223,12.99
2017-10-02,452069003029,1.0,12.166228792750102,12.99
2017-10-02,452069003024,2.0,25.28892713465816,25.98
2017-10-02,483716001000,1.0,14.303264344000372,14.99
2017-10-02,481420009034,4.0,39.20899572956463,39.96
2017-10-02,481420009022,1.0,9.589565132171433,9.99
2017-10-02,295584001000,6.0,33.482044831161055,35.94
2017-10-02,533523002034,1.0,39.289931034105976,39.99
2017-10-02,510014006038,10.0,174.56040701023727,179.9
2017-10-02,510014006040,6.0,107.81383731358751,107.94
2017-10-02,527358015000,3.0,29.119053204397215,29.97
2017-10-02,442345012000,4.0,29.879638882407903,31.96
2017-10-02,565029008092,5.0,49.243733522503135,49.95
2017-10-02,565029008110,13.0,128.6092608189863,129.87
2017-10-02,565029008122,10.0,98.35543432400107,99.9
2017-10-02,565029008098,8.0,75.26882397279103,79.92
2017-10-02,565029008134,5.0,45.352721424861706,49.95
2017-10-02,467603002505,7.0,102.67571571539695,104.93
2017-10-02,511013002116,6.0,47.916583945044124,47.94
2017-10-02,463415001170,4.0,72.72059101100099,79.96
2017-10-02,463415001140,9.0,165.54053130916517,179.91
2017-10-02,463415001146,3.0,53.973182587271786,59.97
2017-10-02,463415001152,3.0,56.60900630214955,59.97
2017-10-02,463415001158,3.0,57.07834795686247,59.97
2017-10-02,463415001134,2.0,36.69269605678908,39.98
2017-10-02,510393005042,3.0,27.721516815716495,29.97
2017-10-02,510393005038,4.0,39.51777020966075,39.96
2017-10-02,510393005041,2.0,18.296338596567526,19.98
2017-10-02,463415001164,3.0,58.06454740914017,59.97
2017-10-02,526432001080,3.0,37.29049018490601,38.97
2017-10-02,394103001170,3.0,28.167467506598737,29.97
2017-10-02,394103001146,12.0,115.3979901154552,119.88
2017-10-02,510014006034,6.0,101.28973672100705,107.94
2017-10-02,510014006036,12.0,195.38272413029998,215.88
2017-10-02,510014006032,1.0,17.823399489320984,17.99
2017-10-02,510014006042,4.0,65.42703894747206,71.96
2017-10-02,374279005004,1.0,14.879204177975794,14.99
2017-10-02,531688001000,2.0,38.42075164497329,39.98
2017-10-02,549358004005,10.0,98.54234605485925,99.9
2017-10-02,503207002042,2.0,19.451180839652707,19.98
2017-10-02,503207002036,3.0,29.777744878778815,29.97
2017-10-02,503207002034,1.0,9.510001393770526,9.99
2017-10-02,503207002046,2.0,19.14303996604705,19.98
2017-10-02,503207002044,1.0,9.038371290054002,9.99
2017-10-02,549358004004,8.0,75.23327041555899,79.92
2017-10-02,549358004006,5.0,46.67162315961886,49.95
2017-10-02,549358004003,1.0,9.317849675768084,9.99
2017-10-02,529229001175,6.0,43.15668166984193,47.94
2017-10-02,544565002120,3.0,40.50514332332205,44.97
2017-10-02,394103001134,4.0,38.19242911495495,39.96
2017-10-02,394103001158,5.0,46.8859819218234,49.95
2017-10-02,510014006044,3.0,53.42212836572373,53.97
2017-10-02,533523002042,1.0,38.54079099564833,39.99
2017-10-02,533523002046,2.0,74.74926455854404,79.98
2017-10-02,537034001050,2.0,97.23486546438633,99.98
2017-10-02,542473003040,1.0,39.37916146805953,39.99
2017-10-02,542473003036,1.0,36.326472717911614,39.99
2017-10-02,273774001036,8.0,673.6812528528828,719.92
2017-10-02,273774001042,1.0,84.25654858714265,89.99
2017-10-02,273774001038,5.0,418.6376396833838,449.95
2017-10-02,273774001040,6.0,486.335295814876,539.94
2017-10-02,273774001046,1.0,89.49901916599754,89.99
2017-10-02,273774001034,3.0,249.71734360684394,269.97
2017-10-02,446456002006,7.0,132.95057849735028,139.93
2017-10-02,454537001048,1.0,28.722574718055718,29.99
2017-10-02,454537001044,5.0,147.07141765989098,149.95
2017-10-02,454537001046,4.0,115.3859436104572,119.96
2017-10-02,273784004000,6.0,28.01786515586927,29.94
2017-10-02,570590001000,4.0,30.12622388465576,31.96
2017-10-02,504074001008,1.0,17.700528739221568,17.99
2017-10-02,504074001004,2.0,35.72600672744417,35.98
2017-10-02,504074001005,5.0,85.87038835724974,89.95
2017-10-02,504074001006,5.0,87.00957713608292,89.95
2017-10-02,454537001052,2.0,58.66022251452511,59.98
2017-10-02,446456002004,2.0,36.31873775241433,39.98
2017-10-02,446456002008,1.0,19.768302748785047,19.99
2017-10-02,446456002005,5.0,93.54378032127295,99.95
2017-10-02,418545028003,3.0,29.506490873038686,29.97
2017-10-02,504818001038,2.0,69.30599896438554,69.98
2017-10-02,504818001034,4.0,136.69094380965413,139.96
2017-10-02,504818001036,5.0,168.93696323193177,174.95
2017-10-02,504818001032,1.0,33.776616397948054,34.99
2017-10-02,553023004000,1.0,6.803477216119821,6.99
2017-10-02,374438002000,7.0,34.58992186767612,34.93
2017-10-02,279748001005,12.0,116.36790452126885,119.88
2017-10-02,279748001070,5.0,49.64827410097988,49.95
2017-10-02,279748001035,11.0,104.91441382708071,109.89
2017-10-02,455851002505,7.0,134.3183848532041,139.93
2017-10-02,364289001000,4.0,19.939989395935157,19.96
2017-10-02,366023001056,1.0,67.12190695262451,69.99
2017-10-02,478058001042,3.0,147.46152877454352,149.97
2017-10-02,478058001036,2.0,92.00001234580292,99.98
2017-10-02,478058001038,2.0,99.51165243499246,99.98
2017-10-02,478058001040,4.0,190.5020237884638,199.96
